name,category,ratevalue,reviewcount,address,postcode,city,area,telephone,website,price,url
"Restaurant Koschat 2000","Essen & TrinkenPizzaItalienisches Restaurant","2.0","6","Stift-Viktring-Strasse 1","9073","Klagenfurt-Viktring","","0463 282523","","€ 11-20","http://www.yelp.at/biz/restaurant-koschat-2000-klagenfurt-viktring"
"Ohh Sushi&Wok","Japanisches RestaurantSushi","4.0","5","Landesgerichtsstraße 12","1010","Wien","Innere Stadt","01 9574034","ohh-sushi.at","","http://www.yelp.at/biz/ohh-sushi-and-wok-wien"
"McDonald’s","Fast FoodBurger","3.5","6","Hernalser Gürtel 82 A - 87","1080","Wien","Josefstadt","01 4082900","mcdonalds.at","€ 11-20","http://www.yelp.at/biz/mcdonalds-wien"
"China-Restaurant Goldener Drache","Chinesisches Restaurant","3.5","5","Porzellangasse 33","1090","Wien","Alsergrund","01 3173318","goldener-drachen.at","€ 21-40","http://www.yelp.at/biz/china-restaurant-goldener-drache-wien"
"AJ’s American Diner","Amerikanisches RestaurantBurgerDiner","3.5","8","Severingasse 5","1090","Wien","Alsergrund","01 2763390","ajsamericandiner.com/de","€ 11-20","http://www.yelp.at/biz/ajs-american-diner-wien-2"
"Buffet 019","Wirtshaus","4.0","4","Gerhardusgasse 24","1200","Wien","Brigittenau","0676 5298116","","","http://www.yelp.at/biz/buffet-019-wien"
"Oishii Sushi","SushiJapanisches RestaurantVietnamesisches Restaurant","4.5","3","Nussdorferstr. 86","1090","Wien","Alsergrund","0699 10742976","oishii-sushi.at","€ 11-20","http://www.yelp.at/biz/oishii-sushi-wien"
"Pizzeria Cara Mia","LieferserviceItalienisches RestaurantPizza","4.0","16","Pragerstraße 65","1210","Wien","Floridsdorf","01 2707886","pizzaontour.at","€ 11-20","http://www.yelp.at/biz/pizzeria-cara-mia-wien-3"
"Tien Tsin","Chinesisches Restaurant","4.0","5","Ramperstorffergasse 47/1/5","1050","Wien","Margareten","01 5445751","","Unter € 10","http://www.yelp.at/biz/tien-tsin-wien"
"Lucullus Restaurant","Österreichisches Restaurant","4.0","5","Neulinggasse 29","1030","Wien","Landstraße","01 7180215","lucullus-catering.at","€ 11-20","http://www.yelp.at/biz/lucullus-restaurant-wien"
"Hayaci Sushi Bar","Sushi","3.5","9","Währingerstr. 14","1090","Wien","Alsergrund","0699 11152226","hayaci.at","Unter € 10","http://www.yelp.at/biz/hayaci-sushi-bar-wien"
"China Restaurant Bambus","Chinesisches Restaurant","5.0","1","Klagenfurterstr. 5","9170","Ferlach","","04227 20470","","€ 11-20","http://www.yelp.at/biz/china-restaurant-bambus-ferlach"
"Pizza Panorama","PizzaItalienisches Restaurant","3.0","1","Waidmannsdorfer Strasse 57","9020","Klagenfurt","","0463 22111","pizza-panorama.at","","http://www.yelp.at/biz/pizza-panorama-klagenfurt"
"Fallaloon F-Express","Asiatisches Restaurant","4.0","3","Völkermarkter Straße  225","9020","Klagenfurt","","","fallaloon.at","€ 11-20","http://www.yelp.at/biz/fallaloon-f-express-klagenfurt"
"Lavista","Mexikanisches Restaurant","2.5","3","Herreng 12","9020","Klagenfurt","","0676 84757730","","€ 11-20","http://www.yelp.at/biz/lavista-klagenfurt"
"Gasthof Kirschnerhof","Österreichisches Restaurant","5.0","1","Kirschnerstrasse 10","9161","Maria Rain","","04227 84922","","€ 11-20","http://www.yelp.at/biz/gasthof-kirschnerhof-maria-rain"
"Pizzeria Agli Amici","PizzaItalienisches Restaurant","4.0","6","Herbertstrasse 1/1","9020","Klagenfurt","","0463 513842","","Über € 41","http://www.yelp.at/biz/pizzeria-agli-amici-klagenfurt"
"Cafe am Platz","CaféCoffee Shop","4.0","1","Neuer Platz 9","9020","Klagenfurt","","0676 3330222","jammer.at/cafeamplatz/home","Unter € 10","http://www.yelp.at/biz/cafe-am-platz-klagenfurt-2"
"Kebab La Diva Koc","Kebab","4.5","3","Liechtensteinstr. 16","1090","Wien","Alsergrund","01 3101238","","Unter € 10","http://www.yelp.at/biz/kebab-la-diva-koc-wien"
"Hasir","CaféCoffee Shop","4.5","4","Mexikoplatz 20","1020","Wien","Leopoldstadt","01 7291750","hasir.at","€ 11-20","http://www.yelp.at/biz/hasir-wien"
"Pizzeria Casanova","Italienisches RestaurantLieferservice","4.0","4","Neustiftgasse 145","1070","Wien","Neubau","01 5225307","pizzeria-casanova.com","€ 11-20","http://www.yelp.at/biz/pizzeria-casanova-wien"
"Akakiko","Asiatisches RestaurantJapanisches Restaurant","4.0","10","Am Platz 3","1130","Wien","Hietzing","057 333-160","akakiko.at","€ 11-20","http://www.yelp.at/biz/akakiko-wien-6"
"Sushigo","ImbissbudeAsiatisches Restaurant","4.5","2","Schottentor Passage","1010","Wien","Innere Stadt","0650 5338519","","€ 11-20","http://www.yelp.at/biz/sushigo-wien"
"Oliva Verde","PizzaItalienisches Restaurant","4.0","8","Florianigasse 15","1080","Wien","Josefstadt","01 4054106","olivaverde.at","€ 21-40","http://www.yelp.at/biz/oliva-verde-wien"
"Wienerwald","Deutsches RestaurantBrathähnchenFast Food","3.0","9","Goldschmiedgasse 6","1010","Wien","Innere Stadt","0501 516133","wienerwald.at","€ 11-20","http://www.yelp.at/biz/wienerwald-wien-9"
"Donaudelta","WirtshausWein, Bier & Schnaps","4.0","5","Sechshauser Gürtel 7","1150","Wien","Rudolfsheim-Fünfhaus","0650 5641000","donaudelta.at","€ 11-20","http://www.yelp.at/biz/donaudelta-wien-2"
"Pizzeria Da Adriano","Pizza","4.5","4","Wallensteinstr. 54","1200","Wien","Brigittenau","01 3327351","","Unter € 10","http://www.yelp.at/biz/pizzeria-da-adriano-wien"
"Flugfisch","Asiatisches Restaurant","4.0","5","Untere Augartenstr. 3","1020","Wien","Leopoldstadt","01 3304274","","€ 11-20","http://www.yelp.at/biz/flugfisch-wien"
"Pizza Mir","LieferserviceKebabPizza","4.0","1","Museumstr. 19","4020","Linz","","0732 783846","pizzamir.at","Unter € 10","http://www.yelp.at/biz/pizza-mir-linz"
"Burger Checker","Burger","3.5","6","Freistädter Str. 313","4040","Linz","","0660 1101200","","€ 11-20","http://www.yelp.at/biz/burger-checker-linz-2"
"Pizza Service Solo","PizzaLieferservice","4.5","2","Füchselstr.14","4020","Linz","","","","€ 11-20","http://www.yelp.at/biz/pizza-service-solo-linz"
"Pizza Baron","Pizza","5.0","1","Wiener Str. 6","4020","Linz","","0732 661190","","Unter € 10","http://www.yelp.at/biz/pizza-baron-linz"
"Schnitzelhaus","Fast FoodÖsterreichisches Restaurant","5.0","1","Hauptstr. 66","4040","Linz","","0501 01050","schnitzelhaus.com","","http://www.yelp.at/biz/schnitzelhaus-linz"
"Tom Yam","Thailändisches Restaurant","4.0","6","Konrad-Vogel-Str. 11","4020","Linz","","0732 946969","tomyam.at","€ 11-20","http://www.yelp.at/biz/tom-yam-linz-2"
"Alexis Sorbas","Griechisches Restaurant","4.0","3","Lobenhauerngasse 16-18","1170","Wien","Hernals","01 4892726","alexissorbas.at","Unter € 10","http://www.yelp.at/biz/alexis-sorbas-wien-2"
"New Point","BurgerVegetarisches RestaurantAsiatisches Restaurant","3.5","10","Pilgramgasse 9","1050","Wien","Margareten","01 5448806","newpointrestaurant.at","€ 11-20","http://www.yelp.at/biz/new-point-wien-2"
"Porta Via","PizzaItalienisches Restaurant","4.5","4","Wilhelmstr. 33","1120","Wien","Meidling","01 8157770","pizzatelefon.at","€ 11-20","http://www.yelp.at/biz/porta-via-wien"
"Pizzeria La Traviata","Pizza","4.0","9","Neilreichgasse 22","1100","Wien","Favoriten","01 6032971","latraviata.at","","http://www.yelp.at/biz/pizzeria-la-traviata-wien"
"Wok Imbiss","Fast Food","4.5","2","Märzstr. 48","1150","Wien","Rudolfsheim-Fünfhaus","","","Unter € 10","http://www.yelp.at/biz/wok-imbiss-wien"
"Saphire","Türkisches Restaurant","4.0","3","Jägestraße 35","1200","Wien","Brigittenau","01 9681966","","€ 11-20","http://www.yelp.at/biz/saphire-wien"
"Liman","Türkisches Restaurant","4.0","3","Payergasse 2veronikagasse 19","1160","Wien","Ottakring","01 4020290","liman-restaurant.at","€ 11-20","http://www.yelp.at/biz/liman-wien"
"Mishi","Asiatisches Restaurant","3.5","4","Wiedner Hauptstr. 78","1040","Wien","Wieden","0650 3626971","","€ 11-20","http://www.yelp.at/biz/mishi-wien"
"burgerme","BurgerLieferservice","3.5","9","Erdbergstr. 202","1030","Wien","Landstraße","01 361595595","burgerme.at","€ 11-20","http://www.yelp.at/biz/burgerme-wien-3"
"Iron Chef","Chinesisches RestaurantLieferservice","4.5","2","Währinger Straße  24","1090","Wien","Alsergrund","01 3177065","","€ 11-20","http://www.yelp.at/biz/iron-chef-wien"
"China-Palast","Chinesisches Restaurant","3.5","5","Eisenhandstr. 30","4020","Linz","","0732 7688-0","chinapalast.at","€ 11-20","http://www.yelp.at/biz/china-palast-linz"
"Akakiko","Japanisches Restaurant","3.5","19","Landstr. 17-25Passage Center, 3. Stock","4020","Linz","","057 333170","akakiko.at/index.html","€ 21-40","http://www.yelp.at/biz/akakiko-linz-2"
"Non Solo Vino","Italienisches RestaurantDelikatessenPizza","5.0","3","Bischofstr. 15","4020","Linz","","0732 797788","nonsolovino.at","€ 11-20","http://www.yelp.at/biz/non-solo-vino-linz"
"Rikscha","Vietnamesisches Restaurant","4.5","11","Graben 31","4020","Linz","","0732 782144","","Unter € 10","http://www.yelp.at/biz/rikscha-linz"
"NITTEL’s","Restaurant","","","Keplerstraße 57","8020","Graz","","04369 917701737","nittels.at","","http://www.yelp.at/biz/nittels-graz"
"Loana CakeAway","Champagner BarCaféCoffee Shop","","","Sporgasse 26","8010","Graz","","0664 1217872","cakeaway.at","Unter € 10","http://www.yelp.at/biz/loana-cakeaway-graz"
"Lemon leaf","Thailändisches Restaurant","4.0","2","Kettenbrückengasse 19","1050","Wien","Margareten","01 5812308","","€ 11-20","http://www.yelp.at/biz/lemon-leaf-wien"
"Pizzeria Motelli","PizzaItalienisches Restaurant","3.5","4","Meidlinger Hauptstr. 3","1120","Wien","Meidling","01 81792471","","Unter € 10","http://www.yelp.at/biz/pizzeria-motelli-wien"
"Pizzeria La Corta Özalp","Pizza","4.0","4","Liechtensteinstr. 32-34/8","1090","Wien","Alsergrund","01 3152556","lacorta.at","€ 11-20","http://www.yelp.at/biz/pizzeria-la-corta-%C3%B6zalp-wien"
"Schnitzelhaus","Österreichisches Restaurant","4.0","5","Martinstr. 54","1180","Wien","Währing","01 4075821","schnitzelhaus.com","€ 11-20","http://www.yelp.at/biz/schnitzelhaus-wien-16"
"Hakka Cun","Asiatisches Restaurant","3.5","5","Rennweg 28","1030","Wien","Landstraße","01 7990374","","","http://www.yelp.at/biz/hakka-cun-wien"
"Takami","Chinesisches RestaurantAsiatisches Restaurant","4.5","5","Ratschkygasse 5","1120","Wien","Meidling","01 8100711","takami.at/1.html","€ 11-20","http://www.yelp.at/biz/takami-wien"
"Fine - Snack Factory","KebabPizza","4.5","2","Heiligenstädter Str. 33","1190","Wien","Döbling","","","Unter € 10","http://www.yelp.at/biz/fine-snack-factory-wien"
"Ra’Mien Go","Asiatisches Restaurant","4.5","2","Dresdner Str. 68A","1200","Wien","Brigittenau","01 9054226","ramiengo.at/info-kontakt.html","€ 11-20","http://www.yelp.at/biz/ramien-go-wien-3"
"Asia Wok Leckerbox","Asiatisches Restaurant","4.0","4","Haberlgasse 58","1160","Wien","Ottakring","01 4058380","","","http://www.yelp.at/biz/asia-wok-leckerbox-wien"
"Lebensbaumkreis Am Himmel","Österreichisches Restaurant","4.5","8","Himmelstr. 150","1190","Wien","Döbling","01 4065938","himmel.at","€ 11-20","http://www.yelp.at/biz/lebensbaumkreis-am-himmel-wien"
"Cafe La Strada","Restaurant","4.0","1","Grabenstr. 14","8010","Graz","","0316 688722","","","http://www.yelp.at/biz/cafe-la-strada-graz"
"Cosimo","Mediterranes Restaurant","4.0","1","Hofgasse 8","8010","Graz","","0316 839836","cosimo.co.at/#_=_","","http://www.yelp.at/biz/cosimo-graz"
"Dean & David","Modern-Europäisches Restaurant","3.5","2","Jakoministr. 34","8010","Graz","","","deananddavid.de","Unter € 10","http://www.yelp.at/biz/dean-und-david-graz-2"
"China-Restaurant Hong-Kong","Chinesisches Restaurant","5.0","1","Jakoministrasse 19","8010","Graz","","0316 825397","","€ 11-20","http://www.yelp.at/biz/china-restaurant-hong-kong-graz"
"Dionysos","Griechisches Restaurant","4.0","8","Färbergasse 6/8Ecke Prokopigasse 1","8010","Graz","","0316 810181","restaurant-dionysos.at","€ 21-40","http://www.yelp.at/biz/dionysos-graz"
"Fontana Di Trevi","PizzaLieferserviceItalienisches Restaurant","3.0","19","Schumanngasse 4","8010","Graz","","0316 383602","fontanaditrevi.at","€ 11-20","http://www.yelp.at/biz/fontana-di-trevi-graz"
"Mario Plachutta","Mediterranes Restaurant","5.0","1","Wollzeile 38","1010","Wien","Innere Stadt","01 51215770","plachutta.at","","http://www.yelp.at/biz/mario-plachutta-wien"
"October Wok","Japanisches RestaurantChinesisches Restaurant","5.0","1","Hernalser Gürtel 39 Top 2","1170","Wien","Hernals","01 2310111","","","http://www.yelp.at/biz/october-wok-wien"
"Restaurant Hanil Sushi","Japanisches Restaurant","4.0","7","Hietzinger Hauptstr. 20","1130","Wien","Hietzing","01 8795029","hanil.at","€ 11-20","http://www.yelp.at/biz/restaurant-hanil-sushi-wien"
"Jalisco","Mexikanisches Restaurant","2.5","12","Favoritenstr. 58","1040","Wien","Wieden","01 2165830","jalisco.at","€ 11-20","http://www.yelp.at/biz/jalisco-wien-2"
"St. Charles Alimentary, Mamsell","Österreichisches Restaurant","4.5","3","Gumpendorferstrasse 33","1060","Wien","Mariahilf","0650 9700350","saint.info","Unter € 10","http://www.yelp.at/biz/st-charles-alimentary-mamsell-wien"
"NASCHTA","Indisches Restaurant","3.5","4","Garnisongasse 10","1090","Wien","Alsergrund","04314 074234","thenaschta.webs.com","€ 11-20","http://www.yelp.at/biz/naschta-wien"
"Simorgh","Orientalisches RestaurantPersisches Restaurant","5.0","1","Sechsschimmelgasse 6","1090","Wien","Alsergrund","01 3102697","kuechemitkultur.simorgh.at","","http://www.yelp.at/biz/simorgh-wien-2"
"Schnitzelhaus","Österreichisches Restaurant","4.0","2","Otto-Bauer-Gasse 26","1060","Wien","Mariahilf","01 5878726","schnitzelhaus.com","€ 11-20","http://www.yelp.at/biz/schnitzelhaus-wien-10"
"hot spoon","Suppe & EintopfDessertsSalat","5.0","1","Salesianergasse 20","1030","Wien","Landstraße","01 7150393","hot-spoon.at","","http://www.yelp.at/biz/hot-spoon-wien"
"Meinls Sushibar","Japanisches Restaurant","5.0","1","Graben 19","1010","Wien","Innere Stadt","01 53233346400","meinlamgraben.at","€ 21-40","http://www.yelp.at/biz/meinls-sushibar-wien"
"Z10","Chinesisches RestaurantAsiatisches RestaurantLieferservice","4.0","8","Zinzendorfgasse 10","8010","Graz","","0316 225337","z10.at","€ 11-20","http://www.yelp.at/biz/z10-graz"
"Hidden Kitchen","Vegetarisches RestaurantSalatSuppe & Eintopf","4.5","20","Färbergasse 3","1010","Wien","Innere Stadt","01 2768398","hiddenkitchen.at","€ 11-20","http://www.yelp.at/biz/hidden-kitchen-wien"
"Pizzeria Mama Mia","Pizza","3.5","6","Königseggasse 11","1060","Wien","Mariahilf","01 5979960","pizzeria-mamamia.at","€ 11-20","http://www.yelp.at/biz/pizzeria-mama-mia-wien"
"Xiang Shan","Asiatisches Restaurant","5.0","2","Floridsdorfer Hauptstr. 26","1210","Wien","Floridsdorf","01 2716532","xiangshan.at","€ 11-20","http://www.yelp.at/biz/xiang-shan-wien-3"
"Tri Stelle Pizzeria Lieferservice","Pizza","5.0","2","Lerchenfelder Str.  160","1080","Wien","Josefstadt","","pizza-wien.at","€ 11-20","http://www.yelp.at/biz/tri-stelle-pizzeria-lieferservice-wien"
"Mirchi","Indisches Restaurant","3.5","15","Hirschengasse 8","1060","Wien","Mariahilf","01 5952504","mirchi.at","€ 11-20","http://www.yelp.at/biz/mirchi-wien"
"Monsoon","Indisches Restaurant","4.5","6","Donaufelder Str. 66","1210","Wien","Floridsdorf","01 2558422","monsoonvienna.at","€ 11-20","http://www.yelp.at/biz/monsoon-wien-2"
"China-Restaurant Jade","Chinesisches Restaurant","4.5","4","Favoritenstrasse 177","1100","Wien","Favoriten","01 6026295","","€ 11-20","http://www.yelp.at/biz/china-restaurant-jade-wien"
"Ponte Rialto","Pizza","4.0","5","Tivoligasse 44","1120","Wien","Meidling","01 8120249","ponte-di-rialto.at","€ 11-20","http://www.yelp.at/biz/ponte-rialto-wien"
"St. Ellas","BistroBBQ & Barbecue","3.0","5","Zieglergasse 43-45","1070","Wien","Neubau","","stellas.at","€ 11-20","http://www.yelp.at/biz/st-ellas-wien"
"Pizzeria Palermo","PizzaItalienisches RestaurantLieferservice","3.5","8","Obere Augartenstr. 2","1020","Wien","Leopoldstadt","01 3327324","","Unter € 10","http://www.yelp.at/biz/pizzeria-palermo-wien"
"Pizzeria Luna Rossa","Italienisches Restaurant","4.5","2","Waehringerstrasse 74","1090","Wien","Alsergrund","","","","http://www.yelp.at/biz/pizzeria-luna-rossa-wien"
"Saray","PizzaLieferservice","5.0","1","Ottakringer Str. 30 Stiege 1","1170","Wien","Hernals","01 9240368","","Unter € 10","http://www.yelp.at/biz/saray-wien"
"Ossi’s Pizza Pasteria, Irik KEG","LieferserviceItalienisches Restaurant","5.0","2","Klosterneuburger Strasse 35","1200","Wien","Brigittenau","059 058466","imeal.eu/Ossis-Pizza-1200-Wie…","Unter € 10","http://www.yelp.at/biz/ossis-pizza-pasteria-irik-keg-wien"
"burgerme","Burger","4.0","7","Breitenfurter Str. 189","1230","Wien","Liesing","01 361595595","burgerme.at","€ 11-20","http://www.yelp.at/biz/burgerme-wien"
"Wienerwald","Deutsches RestaurantBrathähnchenFast Food","3.5","3","Bellariastr. 12","1010","Wien","Innere Stadt","0501 51515","wienerwald.at","€ 11-20","http://www.yelp.at/biz/wienerwald-wien-10"
"Da Corrado","Italienisches RestaurantLieferservicePizza","4.0","3","Penzinger Str. 22","1140","Wien","Penzing","01 8943166","dacorrado.at","€ 21-40","http://www.yelp.at/biz/da-corrado-wien"
"Asia Restaurant Li","Japanisches RestaurantThailändisches RestaurantChinesisches Restaurant","5.0","1","Währinger Gürtel 162","1090","Wien","Alsergrund","01 9259698","","Unter € 10","http://www.yelp.at/biz/asia-restaurant-li-wien-2"
"Pizza Sisi","Pizza","4.0","2","Billrothstr. 18","1190","Wien","Döbling","01 3696868","pizzaboy.at","Unter € 10","http://www.yelp.at/biz/pizza-sisi-wien"
"Pizzeria Santa Maria","Pizza","4.5","3","Gentzgasse 86-88","1180","Wien","Währing","01 4792436","santamaria1180.at","€ 21-40","http://www.yelp.at/biz/pizzeria-santa-maria-wien"
"Wasabi Sushi Restaurant","Asiatisches Restaurant","4.5","11","Donaufelder Straße 37","1210","Wien","Floridsdorf","01 8901413","wasabirestaurant.at","€ 11-20","http://www.yelp.at/biz/wasabi-sushi-restaurant-wien-2"
"Futtertopf","Pizza","3.5","3","Thaliastr. 121","1160","Wien","Ottakring","01 4950396","futter-topf.at","€ 11-20","http://www.yelp.at/biz/futtertopf-wien"
"La Miramare","Italienisches RestaurantGriechisches Restaurant","4.5","6","Maria-Kuhn Gasse 6","1100","Wien","Favoriten","01 2980020","la-miramare.at","€ 11-20","http://www.yelp.at/biz/la-miramare-wien"
"Servus am Platzl","Restaurant","3.5","2","Uhlplatz 5","1080","Wien","Josefstadt","01 4052677","servusamplatzl.at","€ 11-20","http://www.yelp.at/biz/servus-am-platzl-wien"
"Tauber","CaféCoffee Shop","4.0","5","Donaustadtstr. 1","1220","Wien","Donaustadt","01 2023300","tauber.at","€ 11-20","http://www.yelp.at/biz/tauber-wien-8"
"Restaurant Lucky Friend","Chinesisches Restaurant","3.5","4","Landgutgasse 35","1100","Wien","Favoriten","01 6036072","","€ 11-20","http://www.yelp.at/biz/restaurant-lucky-friend-wien"
"Pizzeria Primavera","Pizza","3.0","4","Steinbauergasse 22","1120","Wien","Meidling","01 8152210","","€ 11-20","http://www.yelp.at/biz/pizzeria-primavera-wien"
"Al Pacino","PizzaLieferservice","3.5","3","Wittelsbachstr. 3","1020","Wien","Leopoldstadt","01 7264495","pizzeria-alpacino.at","€ 11-20","http://www.yelp.at/biz/al-pacino-wien"
"Kamasutra","Indisches Restaurant","5.0","2","Johnstr. 24","1150","Wien","Rudolfsheim-Fünfhaus","01 9291155","","Unter € 10","http://www.yelp.at/biz/kamasutra-wien"
"Curry Up!","Indisches Restaurant","2.5","9","Gußhausstr. 19","1040","Wien","Wieden","01 890224816","curryup.at","€ 11-20","http://www.yelp.at/biz/curry-up-wien"
"The Burger Bar","Amerikanisches RestaurantBurgerCocktailbar","3.5","2","Liechtensteinstr. 8b","1090","Wien","Alsergrund","01 9222830","theburgerbar.at","€ 11-20","http://www.yelp.at/biz/the-burger-bar-wien"
"Pizzakeller","PizzaItalienisches Restaurant","3.0","12","Bellegardegasse 2","1220","Wien","Donaustadt","01 2692120","","€ 11-20","http://www.yelp.at/biz/pizzakeller-wien"
"Pizzeria Bella Vita","Pizza","3.5","2","Untere Augartenstr. 16","1020","Wien","Leopoldstadt","01 2765563","","€ 11-20","http://www.yelp.at/biz/pizzeria-bella-vita-wien"
"Marco Polo Asian Cuisine","Asiatisches Restaurant","2.0","6","Landstraßer Hauptstr. 2a","1030","Wien","Landstraße","01 7131560","marcopoloasian.at","€ 11-20","http://www.yelp.at/biz/marco-polo-asian-cuisine-wien"
"One Sinn","Asiatisches Restaurant","4.0","1","Kinderspitalgasse 2","1090","Wien","Alsergrund","01 4065222","","Unter € 10","http://www.yelp.at/biz/one-sinn-wien"
"calllas","SpezialitätenInternationales Restaurant","4.0","1","Schubertring 6","1010","Wien","Innere Stadt","01 5129926","calllas.at","Über € 41","http://www.yelp.at/biz/calllas-wien-2"
"India gate Indishese Restaurant","Restaurant","3.0","2","Franz Josef Kai  49","1010","Wien","Innere Stadt","01 5330332","","€ 11-20","http://www.yelp.at/biz/india-gate-indishese-restaurant-wien"
"Aida Prousek & Co Chocolaterie u Großkonditorei","Restaurant","3.5","3","Favoritenstr. 88-90","1100","Wien","Favoriten","01 6006965","","€ 11-20","http://www.yelp.at/biz/aida-prousek-and-co-chocolaterie-u-gro%C3%9Fkonditorei-wien-7"
"eWok","Asiatisches RestaurantSushi","3.5","6","Donau-City-Straße 4","1220","Wien","Donaustadt","01 8901337","ewok.at","€ 11-20","http://www.yelp.at/biz/ewok-wien"
"Der Biogreissler","BuffetBioladen","4.0","1","Währinger Str. 5","1090","Wien","Alsergrund","0676 7850424","derbiogreissler.at","Unter € 10","http://www.yelp.at/biz/der-biogreissler-wien"
"Pizzeria Cara Mia","PizzaItalienisches Restaurant","4.5","7","Hardeggasse 69-71","1220","Wien","Donaustadt","01 2837383","pizzeria-caramia.at","€ 11-20","http://www.yelp.at/biz/pizzeria-cara-mia-wien-2"
"I Love Veggie Burger","BurgerVegetarisches RestaurantVeganes Restaurant","2.5","6","Margarethenstr. 76","1050","Wien","Margareten","01 5122509","veggie-burger.at","€ 11-20","http://www.yelp.at/biz/i-love-veggie-burger-wien"
"Wok Haus Asia Restaurant","Asiatisches RestaurantChinesisches RestaurantJapanisches Restaurant","4.0","1","Taborstr. 46a","1020","Wien","Leopoldstadt","02165 215","wokhaus.at","€ 11-20","http://www.yelp.at/biz/wok-haus-asia-restaurant-wien"
"Nara - Asiatische Spezialitäten","Japanisches Restaurant","4.0","5","Einsiedeleigasse 7","1130","Wien","Hietzing","01 8794568","restaurant-nara.at","€ 11-20","http://www.yelp.at/biz/nara-asiatische-spezialit%C3%A4ten-wien"
"Nayeb","Nahöstliches Restaurant","4.0","5","Gumpendorferstraße  22","1060","Wien","Mariahilf","","","Unter € 10","http://www.yelp.at/biz/nayeb-wien"
"Pizza Plus","Italienisches Restaurant","4.5","6","Kaufpark Alt ErlaaAnton Baumgartner Str. 44","1230","Wien","Liesing","01 6679229","pizzaplus.at","€ 11-20","http://www.yelp.at/biz/pizza-plus-wien-2"
"Leberkas-Pepi","Österreichisches Restaurant","4.5","6","Operngasse 12","1010","Wien","Innere Stadt","0664 2658865","leberkaspepi.at","Unter € 10","http://www.yelp.at/biz/leberkas-pepi-wien"
"Josef Schrott","Bäckereien & Konditoreien","4.5","5","Mariahilfer Str. 159","1150","Wien","Rudolfsheim-Fünfhaus","01 8934249-0","baeckerei-schrott.at","Moderat","http://www.yelp.at/biz/josef-schrott-wien"
"La Bella Vita","Italienisches Restaurant","4.0","1","Rainergasse 12","1040","Wien","Wieden","01 9672786","labellavita.wien","","http://www.yelp.at/biz/la-bella-vita-wien"
"di piu","Italienisches Restaurant","5.0","1","Olympiaplatz 2/Top 2. 1e","1020","Wien","Leopoldstadt","01 2764151","","€ 11-20","http://www.yelp.at/biz/di-piu-wien-2"
"China-Restaurant Pan Asia","Chinesisches Restaurant","4.0","1","Praterstr. 22","1020","Wien","Leopoldstadt","01 2147382","","€ 11-20","http://www.yelp.at/biz/china-restaurant-pan-asia-wien"
